city,block_x,block_y,lst,green_space_share,built_up_share,n_cells,population,water_share,street_tree_share,building_count,mean_building_height,block_area_km2,building_density_km2,heat_percentile,population_percentile,hotspot_score,hotspot,recommended_intervention,longitude,latitude
Amsterdam,1982,1637,30.18833,0.050252239587520973,0.2680773712296093,6,6783.0,0.06157206423404101,0.28198569291883496,4763.0,6.5263997477931905,4.773835162648408,997.7303023084701,0.8456284153005464,0.825136612021858,0.8353825136612022,True,Increase green space,4.754992564182081,52.46999739315949
Amsterdam,1982,1638,31.465002,0.03769134328726236,0.6876519155521322,6,19382.0,0.03947190908846041,0.7574278375471231,12029.0,7.400039989789841,4.772643842688654,2520.4059629187623,0.9590163934426229,0.9439890710382514,0.9515027322404371,True,Increase green space,4.754992564026985,52.48999403690544
Amsterdam,1983,1624,30.083334,0.0987784823829057,0.6545740305868176,6,17767.0,0.04727636981638744,0.8033546381953962,10198.0,7.542130038246544,4.784952724367523,2131.2645259934047,0.8360655737704918,0.9385245901639344,0.8872950819672132,True,Targeted local cooling measures,4.8149976461944375,52.23999403975439
Amsterdam,1983,1626,29.927998,0.0018351525430840682,0.8147325911754137,5,7931.0,0.003312580462019632,0.8951414389051571,5473.0,9.645187283025763,4.0883715975996795,1338.6747924805193,0.8114754098360656,0.8483606557377049,0.8299180327868853,True,Increase green space,4.807071915185606,52.27085348449929
Amsterdam,1983,1630,30.063334,0.12525137884022414,0.7905051655306096,3,15955.0,0.03910396833989285,1.0,8102.0,9.014964206368798,2.3904121627148682,3389.3736512779024,0.8319672131147541,0.9289617486338798,0.880464480874317,True,Targeted local cooling measures,4.804995600278762,52.34499770475105
Amsterdam,1983,1631,31.28333,0.08862692370624077,0.660068489339817,6,39679.0,0.046202484072308043,0.9019028481918298,6758.0,10.337963894643387,4.780022368015377,1413.8009154977788,0.9480874316939891,0.9904371584699454,0.9692622950819673,True,Targeted local cooling measures,4.795000897457832,52.35999678417856
Amsterdam,1983,1632,30.22167,0.20086923290935335,0.4379560416687866,6,18071.0,0.04275011861219063,0.8793988025304621,6067.0,7.62771012574454,4.778832372355562,1269.5569811354317,0.8579234972677595,0.9398907103825137,0.8989071038251366,True,Targeted local cooling measures,4.795000897427003,52.37999342792267
Amsterdam,1983,1638,30.455002,0.025072590720525395,0.41497223781594966,6,9587.0,0.13576538890206266,0.4580260388434516,7103.0,8.666910397295013,4.772371692817241,1488.3585054136754,0.8852459016393442,0.8784153005464481,0.8818306010928962,True,Increase green space,4.784991342527271,52.489994036828016
Amsterdam,1983,1639,29.756006,0.04414475505827352,0.5023624221288372,5,5282.0,0.19208540336911062,0.615915215638044,3827.0,7.839629240073626,4.0779443782051885,938.4630208429581,0.7841530054644809,0.7909836065573771,0.787568306010929,True,Increase green space,4.787067895161304,52.50914868545082
Amsterdam,1984,1630,29.983328,0.11129040676432654,0.8028971224503895,3,19291.0,0.035370258949670615,1.0,2508.0,10.767276714513557,2.6956547599536407,930.3862042196872,0.825136612021858,0.9426229508196722,0.8838797814207651,True,Targeted local cooling measures,4.831853463521158,52.34870513285545
